title,author,tags,link,source
10 Blissful Bootstrap Tools And Templates For Quality jQuery Mobile Development,Addison Cohen,mobile development,https://scotch.io/bar-talk/10-blissful-bootstraps-tools-and-templates-for-quality-jquery-mobile-development,Scotch
S.O.L.I.D: The First 5 Principles of Object Oriented Design,Samuel Oloruntoba,"ood,php,solid",https://scotch.io/bar-talk/s-o-l-i-d-the-first-five-principles-of-object-oriented-design,Scotch
Weekly Poll: What type of tutorial do you prefer?,Chris Sevilleja,poll,https://scotch.io/bar-talk/weekly-poll-what-type-of-tutorial-do-you-prefer,Scotch
Weekly Poll: What smartwatch are you getting?,Chris Sevilleja,poll,https://scotch.io/bar-talk/weekly-poll-what-smartwatch-are-you-getting,Scotch
20 Free HTML5 Templates to Make Your Site Exude Professionalism,Chris Sevilleja,templates,https://scotch.io/bar-talk/20-free-html5-templates-to-make-your-site-exude-professionalism,Scotch
The Best News from Angular’s ng-conf 2015,Chris Sevilleja,angularJS,https://scotch.io/bar-talk/the-best-news-from-angulars-ng-conf-2015,Scotch
A Guide to Markdown for Simpler Web Writing,Md Momin,markdown,https://scotch.io/bar-talk/a-guide-to-markdown-for-simpler-web-writing,Scotch
"Book, T-Shirt, Sticker, and Coffee Mug Giveaway",Chris Sevilleja,giveaway,https://scotch.io/bar-talk/t-shirt-sticker-and-coffee-mug-giveaway,Scotch
11 Great Icon Fonts for Your Projects,Chris Sevilleja,fonts,https://scotch.io/bar-talk/11-great-icon-fonts-for-your-projects,Scotch
Ideas and Demos for Animating Article Headers,Nicholas Cerminara,"css,javascript",https://scotch.io/bar-talk/ideas-and-demos-for-animating-article-headers-on-scroll,Scotch
Freebie: ScrollMagic Starter Templates,Nicholas Cerminara,"css,freebies,javascript",https://scotch.io/bar-talk/freebie-scrollmagic-starter-templates,Scotch
Announcing Scotch Digital: Hire Scotch.io for Your Projects,Nicholas Cerminara,,https://scotch.io/bar-talk/announcing-scotch-digital-hire-scotch-io-for-your-projects,Scotch
Top 10 CodePens of the Week: JavaScript January Edition,Chris Sevilleja,codepen,https://scotch.io/bar-talk/top-10-codepens-of-the-week-javascript-january-edition,Scotch
JavaScript Book Giveaway (MEAN Machine),Chris Sevilleja,,https://scotch.io/bar-talk/javascript-book-giveaway-mean-machine,Scotch
Announcing Our First JavaScript Book: MEAN Machine,Chris Sevilleja,,https://scotch.io/bar-talk/announcing-our-first-javascript-book-mean-machine,Scotch
Scotch’s Year in Review: 2014,Holly Lloyd,,https://scotch.io/bar-talk/scotchs-year-in-review-2014,Scotch
Top 10 CodePens of the Week #15,Holly Lloyd,codepen,https://scotch.io/bar-talk/5255,Scotch
Top 10 CodePens of the Week #14,Chris Sevilleja,codepen,https://scotch.io/bar-talk/top-10-codepens-of-the-week-14,Scotch
Top 13 Codepens of the Week #12: Halloween Edition,Holly Lloyd,codepen,https://scotch.io/bar-talk/top-13-codepens-of-the-week-12,Scotch
Freebie: SVG Developer Icon Set,Brandon Provo,"freebies,icons",https://scotch.io/bar-talk/svg-developer-icon-set,Scotch
Trying Out Go for the First Time,Tim,go,https://scotch.io/bar-talk/trying-out-go-for-the-first-time,Scotch
